click_number,x,y
1,-244,370,  jammu & kashmir
2,-169,375, ladakh
3,-182,297, himachal pradesh
4,-236,256, punjab
5,-86,246, uttarakhand
6,-193,199, haryana
7,-163,184, dehli
8,-326,118, rajasthan
9,-57,149, uttar pradesh
10,86,95, bihar
11,175,153, sikkim
12,327,163, arunachal pradesh
13,264,109, assam
14,348,92,  nagaland
15,338,56,  manipur
16,234,78,  meghalaya
17,265,18,  tripura
18,309,13,  mizoram
19,159,-1,  west bengal
20,78,15,  jharkhand
21,-147,12,  madhya pradesh
22,-350,-3, gujarat
23,-263,-122, maharashtra
24,-39,-57, chhattisgarh
25,36,-75, odisha
26,-118,-170, telangana
27,-219,-257, karnataka
28,-256,-244, goa
29,-131,-254, andhra pradesh
30,-176,-412, kerala
31,-131,-361, tamil nadu